"Story","Title","Result","Date","Stability","Duration (s)"
"Reqres test","Test001","SUCCESS","2022-06-07T12:38:21.954-07:00[America/Phoenix]","0.0","4.45"
"Reqres test","Test002","SUCCESS","2022-06-07T12:38:26.487-07:00[America/Phoenix]","0.0","2.01"
"Reqres test","Test003","SUCCESS","2022-06-07T12:38:28.499-07:00[America/Phoenix]","0.0","0.15"
"Reqres test","Test004","SUCCESS","2022-06-07T12:38:28.649-07:00[America/Phoenix]","0.0","0.54"
"Reqres test","Test005","SUCCESS","2022-06-07T12:38:29.190-07:00[America/Phoenix]","0.0","0.47"
